L,T,magnetization,magnetization_std,n_eff,log_magnetization,log_magnetization_std,n_eff_log,susceptibility,susceptibility_std,n_eff_susceptibility,log_susceptibility,log_susceptibility_std,n_eff_log_susceptibility,binder_cumulant,binder_cumulant_std,n_eff_binder,n_sweeps,n_thermalize,seed
8,2.0,0.90899609375,0.08965822347305376,3686.4016667647156,-0.11083578019225382,0.36062711177227413,6074.8869273782275,49.44612109375,16.934321441792672,3246.9174272211862,3.390202778505318,1.9736752201075567,3568.649262202817,0.6587287953567547,0.027936427431821148,3349.428013032306,8000,1000,0
8,2.0283,0.9053125,0.08836472232373244,3599.8590599162876,-0.1203062734937289,0.5607287196821978,6253.690426271255,47.98654507469309,17.15574444515808,3456.3562391120113,3.3271427618906517,2.0159816624799833,3931.4794956221485,0.6586094981761769,0.028811466743285358,2909.524238366242,8000,1000,1
8,2.0567,0.8899140625,0.10383041081276949,3338.7764911499057,-0.14467446172073803,0.64728763819286,6027.081327745222,45.42353952934312,17.854314805587656,3074.391683229998,3.177413371363544,2.164161272072178,3761.764500677735,0.6571462929725347,0.0307974238464582,3206.4919815425246,8000,1000,2
8,2.085,0.87702734375,0.11388170092573925,3363.634261119587,-0.16822908279054036,0.7296778190989085,6436.598176093285,43.4626910971223,17.79430442842855,3287.3047797731647,3.1282845851506305,2.153773605085973,3961.705556651128,0.6536620553077166,0.03987969463493866,2953.3840940872888,8000,1000,3
8,2.1133,0.86397265625,0.1252996834823248,3202.7807704789557,-0.1920896607333384,0.8018262700165848,5885.518044986472,40.98974722590261,18.554497209543275,2952.7020254546073,2.9446300499020257,2.324139591201734,3631.7369057401606,0.6510698403970564,0.04455079724952216,2788.4650392777744,8000,1000,4
8,2.1417,0.8518223305826456,0.11616502531274608,3103.519644025375,-0.20935505621218595,0.5894493263269907,5031.857684834336,38.888116770556096,18.8557983678997,2846.792607341107,2.8158592326438012,2.4045842495787486,3438.252675219886,0.6493668002610602,0.04718223084649233,3100.889193732748,8000,1000,5
8,2.17,0.8376937984496126,0.13280388139108507,2742.2070751702513,-0.22888323497999585,0.5019016093819337,4761.363147889355,37.52382992511521,18.818200133717983,2805.3256390004017,2.7674724718885653,2.4013510564905958,3622.6846064962347,0.6381760825209635,0.06668705731536949,1945.5151121500749,8000,1000,6
8,2.1983,0.8225376656664167,0.13682436752021482,2674.7887382052104,-0.260433530890608,0.6394457382053284,5075.911574579585,35.345344982486466,14.356856291135417,2656.266459671245,2.6704251954772764,2.411411772863871,3406.1962551383726,0.6354765487532631,0.06432270452933601,1911.8905254145964,8000,1000,7
8,2.22,0.8119295448862217,0.14477329668342948,2748.756819735099,-0.30602344451297153,1.243987937889171,6145.946179560218,33.56448479729729,18.9803493686796,2936.606680572438,2.4935237249505207,2.5608818933013375,3741.4602298810764,0.6318098009856326,0.07214549480440544,1901.687367123775,8000,1000,8
8,2.2267,0.8115153788447111,0.14004036598301697,2823.641708725808,-0.2841431881515432,0.98831913462882,6239.894852603521,33.83890328176224,18.54802218781776,2796.2003703935798,2.5874722059578796,2.4513429340114987,3604.648165445851,0.6319588924019426,0.07340603517841082,2140.003818710437,8000,1000,9
8,2.23,0.8029468304576144,0.1514511778966452,2456.2967581580183,-0.3239673289114836,1.2528346026309984,6213.382463535971,33.23654007847533,14.358135749099178,2509.893817199572,2.5410192597088086,2.484981744890048,3577.8971986672523,0.6275701676837964,0.08302375379455287,1987.0746216866066,8000,1000,10
8,2.24,0.7969883095773942,0.1511839211911049,2818.0773143071906,-0.32908666410529247,1.1834567531754119,5886.153813436206,32.11491350446428,18.71443540990802,2785.808454600499,2.4563278694427693,2.5222084117256074,3522.0998492473327,0.6271006271710167,0.07968840528555088,2039.7461174110097,8000,1000,11
8,2.25,0.7970117529382346,0.15043470627491123,2603.3614670230295,-0.3351252360022945,1.290027413591117,5566.799088400302,32.23438541666666,18.57386176321236,2788.454301364471,2.4599848155470334,2.5353745678418145,3482.113173126534,0.6285365720059052,0.07789395372787142,2159.590156013597,8000,1000,12
8,2.255,0.783883470867717,0.15577640911456708,2737.5789758218207,-0.36746593917225845,1.3990158820879357,6096.165033173374,30.97680501662971,14.58938217117648,2558.000374886098,2.3620336013997876,2.570421447137841,3256.148029944825,0.623364797702829,0.08086834632786355,2110.465856833062,8000,1000,13
8,2.26,0.7841686984246061,0.15926227792295297,2596.3749815990955,-0.36775014072465295,1.3996663855105624,5562.266507147741,30.4648402931416,14.7242212633547,2491.4618903414585,2.2820961354753098,2.638053360598086,3112.3071360543477,0.6241003681832655,0.06494111624918267,1755.71660954481,8000,1000,14
8,2.27,0.781589928732183,0.15476587752371637,2768.4900381615707,-0.3496733194099052,1.1480182095861244,5706.889142522572,30.023058920704845,14.5320435249936,2569.4978487102335,2.2808316661570434,2.632572814591716,3362.48774673878,0.6226503061638465,0.08666899526436038,2037.876069754898,8000,1000,15
8,2.28,0.7692587209302325,0.16427250671325747,2589.6302352524417,-0.39537555364654836,1.05360021331923,5291.028543840924,29.282990679824564,14.385520065315967,2518.1761948931257,2.263781278093279,2.5835617190927986,3336.3155737262505,0.6191277912148347,0.08707981900683245,1996.7722782072117,8000,1000,16
8,2.2833,0.7672152413103276,0.16336387587738735,2622.169338895667,-0.4012163855198198,1.4402639561612125,6266.194534955273,28.924049073709103,14.368311923845761,2628.819327569507,2.210884988814948,2.640303508551615,3420.8569278724613,0.6183847422586299,0.09125426917635139,1949.3894950317733,8000,1000,17
8,2.29,0.7660626094023507,0.1664620424928494,2572.0470546518163,-0.4117110975299187,1.5066443786819927,5626.965926014051,28.731355758733624,14.266186804648779,2521.42662056817,2.2104916937166967,2.617172249519112,3450.3198418423353,0.6175137562870229,0.09319614733555671,2057.069567884694,8000,1000,18
