L,T,magnetization,magnetization_std,n_eff,log_magnetization,log_magnetization_std,n_eff_log,susceptibility,susceptibility_std,n_eff_susceptibility,log_susceptibility,log_susceptibility_std,n_eff_log_susceptibility,binder_cumulant,binder_cumulant_std,n_eff_binder,m2,m2_std,n_eff_m2,m4,m4_std,n_eff_m4,n_sweeps,n_thermalize,seed,n_sweeps_target,n_draws
64,2.105263,0.8657299377441406,0.022854246321914205,31854.416015625,-0.1445371943885659,0.026771821683668113,31916.76953125,1459.220756727919,76.06059718008025,31812.337890625,7.284251305809909,0.05354433840316498,31916.916015625,0.665761069420862,0.0018162914636486276,31773.880859375,0.7500106351524591,0.039092937930865546,31811.95703125,0.5640441915346392,0.05747597810301357,31773.880859375,80000,8000,85,80000,80000
64,2.12766,0.8521066589355468,0.02614763184476358,28803.625,-0.16052632468997058,0.031278693256503294,28909.78125,1399.1016913225706,84.94462251060298,29044.263671875,7.241655433942412,0.0629352275102256,29215.7578125,0.6654535486229389,0.0020100057036855695,28688.876953125,0.7267694483071566,0.043844137917676926,28734.138671875,0.5301161153935776,0.06209777011077506,28688.876953125,80000,8000,84,80000,80000
64,2.150538,0.8354161071777344,0.03092405355092875,28167.220703125,-0.180536363923696,0.0380912247110616,28353.76953125,1331.1047301750525,96.2437396893865,28095.931640625,7.19096930021102,0.07623379628081996,28384.375,0.6649267284857018,0.0029453611700637817,27998.138671875,0.6988763572663069,0.05049293313191229,28063.587890625,0.49097766717288266,0.068146180692758,27998.138671875,80000,8000,83,80000,80000
64,2.173913,0.8148728881835937,0.038110507436972675,25226.74609375,-0.20589913616159797,0.049681543935760644,26049.515625,1253.8479534715486,112.88378553897022,25022.572265625,7.129429315103918,0.0994438124668147,26094.17578125,0.6639688884713486,0.004826201772416646,24844.736328125,0.6654702165186405,0.05986804617749949,24978.3515625,0.4464347472241906,0.07583393580224486,24844.736328125,80000,8000,82,80000,80000
64,2.197802,0.7877934631347656,0.04937492730769949,22169.55078125,-0.24078306565862653,0.0710787237748533,24073.669921875,1161.17561756113,136.48371474474752,21730.568359375,7.048735283133641,0.14227581938743197,24106.12109375,0.662063258876372,0.008951742640329231,21488.54296875,0.6230563935309649,0.0732201177225443,21722.490234375,0.3935603881442953,0.08485923109146817,21488.54296875,80000,8000,81,80000,80000
64,2.222222,0.7490887939453125,0.07170656369002128,16944.6875,-0.29526342001744277,0.12861797980260795,18072.23828125,1043.7595681402718,176.13856501280003,16902.9921875,6.928734370106617,0.25714292484028833,18069.5234375,0.6571742277476309,0.02363753523398113,16901.861328125,0.566275788217783,0.09556090204432095,16901.861328125,0.3298000401726207,0.09646189340252372,17139.076171875,80000,8000,80,80000,80000
64,2.228412,0.7378706237792969,0.07832378670858303,16340.1357421875,-0.31261059214878745,0.15745745580682724,18381.5703125,1012.0241651004657,185.74891665082316,16271.2265625,6.891256150187884,0.314892236679701,18380.287109375,0.6554375908619694,0.025730419381429285,16271.3017578125,0.5505875963181257,0.10105592272377034,16271.3017578125,0.31335887308318006,0.09847405607248322,16560.17578125,80000,8000,79,80000,80000
64,2.234637,0.7230805053710937,0.09022047454343458,14212.1787109375,-0.336971374243255,0.1936152162428955,16064.87109375,973.2741101147443,203.84883545296026,14102.689453125,6.83974341616527,0.38722683220201315,16079.34375,0.6520446548428611,0.03438666412674982,14102.4111328125,0.5309850495278835,0.11121137243252362,14102.4111328125,0.2943129375808374,0.10255502647296773,14502.8076171875,80000,8000,78,80000,80000
64,2.240896,0.70537900390625,0.10216847562898371,14651.9365234375,-0.3682717152419451,0.26534809672429505,19474.59765625,928.5388575119287,220.26236624175553,14412.4912109375,6.774769681986184,0.49982848104831584,17757.49609375,0.6479100081114499,0.037439892433931345,14412.5576171875,0.507997806084156,0.12050440278273283,14412.5576171875,0.2725829005599503,0.10533424661511838,14714.4951171875,80000,8000,77,80000,80000
64,2.247191,0.6864735168457031,0.11448919638943347,12067.865234375,-0.4027938804737264,0.3087696289425905,15602.8720703125,882.8345718541746,236.1500231171709,12284.8583984375,6.702997144394694,0.5900058764089647,14435.0390625,0.642822081828261,0.0554720564527744,12284.275390625,0.484353501573205,0.129545003809454,12284.275390625,0.251380012724366,0.10738932906423541,13112.478515625,80000,8000,76,80000,80000
