L,T,magnetization,magnetization_std,n_eff,log_magnetization,log_magnetization_std,n_eff_log,susceptibility,susceptibility_std,n_eff_susceptibility,log_susceptibility,log_susceptibility_std,n_eff_log_susceptibility,binder_cumulant,binder_cumulant_std,n_eff_binder,m2,m2_std,n_eff_m2,m4,m4_std,n_eff_m4,n_sweeps,n_thermalize,seed
8,4.0,0.4897130009031723,0.08187238252190789,17.709368350904512,-0.7299098767793478,0.18801728732945497,22.343028747481032,0.10635564738104258,0.19119944297637093,106.9893329838102,-3.635452544654845,2.310670484441971,100.95971637110553,0.6341323092138114,0.019814085537033534,15.623663352995168,0.24646605121490558,0.07732251895185722,16.04053320351046,0.0666744632390533,0.03987709395089465,15.623663352995168,120,80,0
8,4.25,0.42039526404201183,0.1200083241748563,41.03497543822648,-0.9419081603806457,0.4791029075234814,48.336900691589626,0.26936911497438387,0.6731558067299032,62.59882100150644,-2.888386059569918,2.178049551085369,87.17209109078046,0.5999467979123627,0.09363286030499551,40.01291307371437,0.19101415925128312,0.08581652462537617,40.01291307371437,0.04378951430076253,0.03176183055447245,42.4901952272775,120,80,1
8,4.5,0.3859549559729923,0.13451737113019324,19.973901454448438,-1.1043990834313486,0.7941988302595534,26.07828892312536,2.272630700380566,1.3816891105938987,15.694657867903341,0.41214694148994685,1.3480502761630324,31.938969019973563,0.5796730664618626,0.08465464888573136,20.196687161668343,0.16690536014976107,0.08562324956259548,20.196687161668343,0.035127645605166145,0.026681744675881875,23.044671635210648,120,80,2
12,4.0,0.4855036775802443,0.062088953542255645,34.8152679032892,-0.7312465533185379,0.13490587580088956,35.843040385855176,0.13762486202541394,0.19410147976774503,92.14635917257893,-3.16864474663979,2.2583618209288794,79.72391782180351,0.6468156106160394,0.01437545191753242,34.46765070583505,0.2395367337779811,0.05870048653744577,34.46765070583505,0.060794879389425134,0.02792778628547,34.93576303269443,120,80,3
12,4.25,0.39239497339139207,0.1136933174818542,11.10467124347049,-1.0266893709081777,0.5566596048858897,13.864799079958164,1.2635624247502288,3.2965142090402155,13.565370090563237,-1.5619407377372807,2.1898750318008644,25.943102487101783,0.6022484395686101,0.05575991633953334,12.320166858357846,0.16679226749586074,0.07363055373489162,12.320166858357846,0.03319594011935663,0.023164342652368233,15.82503441432604,120,80,4
12,4.5,0.25993942226510675,0.11760758530210352,37.12636359038852,-1.5451594706329281,0.8079083375799123,49.69307600579286,2.600973389805005,1.815299800402818,30.432267315819427,0.3343241365597833,1.9124441832719414,55.16406816779138,0.507010856241691,0.1806573395711518,31.9384141276269,0.08128478450043743,0.05649101691375032,31.9384141276269,0.009771857558299265,0.01078816133547051,37.1019429972217,120,80,5
