L,T,magnetization,magnetization_std,n_eff,log_magnetization,log_magnetization_std,n_eff_log,susceptibility,susceptibility_std,n_eff_susceptibility,log_susceptibility,log_susceptibility_std,n_eff_log_susceptibility,binder_cumulant,binder_cumulant_std,n_eff_binder,m2,m2_std,n_eff_m2,m4,m4_std,n_eff_m4,n_sweeps,n_thermalize,seed
64,4.05,0.45415765311047646,0.02251831226436719,299.3608093261719,-0.7906011165741664,0.051475364654036564,287.16314697265625,0.5127696464272956,1.212805793362879,269.03729248046875,-2.0946207322301142,2.254747732099268,1023.5218505859375,0.66358924294194,0.006792776547707796,312.0824279785156,0.20676618488175302,0.019868310374343463,312.0824279785156,0.04314695562396687,0.007888149782116143,338.365478515625,8000,800,0
64,4.15,0.40763095229755075,0.040282127824010444,262.6683044433594,-0.9042462534383225,0.1317082715722019,206.5099639892578,1.6016652891164649,6.4798864616940035,173.8285675048828,-1.2077883326046346,2.2463878207879144,1600.743896484375,0.6567792137521558,0.034441567906749765,357.3666687011719,0.16778562055623494,0.02889752152999175,357.3666687011719,0.028987069617867872,0.008673547600847343,617.277099609375,72000,800,1
64,4.2,0.3634508249537983,0.06667385098921866,254.04165649414062,-1.04489100746879,0.3346999062471109,269.1348876953125,131.0255372352166,50.682319095583196,11.562118530273438,4.747915051415619,0.6930288822985878,72.7200698852539,0.6376842178249222,0.06630238768810119,295.0981750488281,0.1365418391917643,0.04026216349847819,295.0981750488281,0.020264691820597664,0.009553369843256958,388.8125305175781,68000,800,2
64,4.22,0.33631443227013674,0.08219665005772313,265.49444580078125,-1.149743484958235,0.4473537073031352,293.5899963378906,99.68078733599427,89.19977462294965,18.315330505371094,4.052883090549184,1.4032195652334225,59.18062210083008,0.6198388416791344,0.09855826000917856,310.5697326660156,0.1198636338503862,0.04492641422073329,310.5697326660156,0.016385657645937555,0.009374280514404707,457.37066650390625,128000,800,3
64,4.24,0.3279518271568207,0.07897693288186185,251.13999938964844,-1.1698701561156393,0.424385908995547,277.3949279785156,80.53278718356349,99.2143347809716,13.280552864074707,3.5549509395924503,1.6244535090643006,31.889062881469727,0.6187823201651743,0.09090014242347987,265.8375549316406,0.11378967023297987,0.043128391834116944,265.8375549316406,0.014808121399786009,0.008746828958685388,349.54473876953125,72000,800,4
64,4.25,0.30128690760167665,0.09317196553213841,266.059814453125,-1.299360639909814,0.5878809491787733,332.0692138671875,92.66080226514079,55.174129796382765,55.20475387573242,4.160545293335321,1.2703059824134875,191.3542022705078,0.5920136894809429,0.1387032955983831,296.3356628417969,0.09945474584511645,0.047066451495371975,296.3356628417969,0.012106479462556647,0.008721093293533572,411.59466552734375,124000,800,5
64,4.27,0.26924589996554077,0.1048540771769976,250.6297607421875,-1.4824330202940792,0.7821406937734049,307.6978759765625,77.34100392259755,52.12008841982499,81.80931091308594,3.84891000258618,1.4950556847498124,266.1007995605469,0.5567700536585711,0.1684441225305229,266.1894226074219,0.08348763398480895,0.0479376647116814,266.1894226074219,0.009268184208357991,0.00787883170121812,351.8173522949219,112000,800,6
64,4.28,0.24762580563576211,0.10784892405612334,266.1444091796875,-1.5900354988143957,0.8138443709930714,338.6521301269531,66.82305822222371,51.17582085639004,93.3506851196289,3.5800058993518546,1.6550629082411799,257.9489440917969,0.5230359372196765,0.2060592749640143,284.8800964355469,0.07294980887650683,0.04788623922298759,284.8800964355469,0.007614742635666039,0.0074345817063329435,358.51800537109375,96000,800,7
64,4.3,0.23957898954435414,0.10004565909575419,259.6719055175781,-1.6030362066797765,0.7670055637189811,334.15625,60.59300322478959,47.14538275023858,99.13602447509766,3.5147020414089303,1.5961700517433026,284.8794250488281,0.529236282389077,0.18954368951806277,274.12847900390625,0.06740708711924895,0.04328232522381694,274.12847900390625,0.006417049051797878,0.006349600027521159,340.5900573730469,72000,800,8
64,4.32,0.2092179111083542,0.10097052438559022,300.8154296875,-1.789581422216528,0.867602608249895,391.38079833984375,49.876897131728896,40.191712417804254,248.44334411621094,3.2048817546571042,1.7818698034094007,391.5892028808594,0.4799106893444096,0.2353926071118652,322.3498840332031,0.05396705368515934,0.040395157486944853,322.3498840332031,0.004544191234742591,0.0052724917618462465,420.1754150390625,80000,800,9
64,4.35,0.16898332473744732,0.09781971284113672,260.4217224121094,-2.0765124615266015,0.9798632247430495,377.1756286621094,35.87128386335056,33.30949484277903,252.28733825683594,2.689546334130536,1.9606171488142656,371.14813232421875,0.3819998137488738,0.3483569073847916,265.6537170410156,0.03812394065094127,0.03523137366437485,265.6537170410156,0.0026946690254141697,0.003980253215334295,326.45440673828125,80000,800,10
64,4.38,0.12511604031864781,0.08262687560074411,293.7140808105469,-2.437758002430531,1.060891272840807,453.2697448730469,20.986252715481037,23.11344585765723,290.843994140625,1.9680046946520102,2.10907543245541,440.73992919921875,0.26050765924671015,0.4843408653439933,292.1177978515625,0.02248105343654406,0.024815941607009003,292.1177978515625,0.0011212133256852837,0.0021682223998209012,366.1116943359375,40000,800,11
64,4.4,0.12205006805339728,0.0818214858277862,275.9173889160156,-2.4666915887720253,1.0642310341128989,390.4741516113281,19.769893483471744,22.370804566375703,280.3393249511719,1.8816060907109682,2.1363594608953194,416.6829528808594,0.24393344558857477,0.5288164351173784,282.92388916015625,0.021590765443794808,0.02431468469197766,282.92388916015625,0.001057346568997642,0.0020741249895282173,327.8786315917969,32000,800,12
64,4.45,0.09734370864355864,0.06954739050198414,258.1468200683594,-2.7195538962499457,1.0948695684606273,442.5367736816406,12.929091613678343,16.172162559995048,220.79708862304688,1.3522287439046137,2.2108611648310683,450.67840576171875,0.15477663750397885,0.5341458021456305,243.7438507080078,0.014312435603137271,0.017736648366326727,243.7438507080078,0.0005194214003023691,0.001179068545580506,292.42010498046875,24000,800,13
64,4.55,0.06913118276014797,0.050405032164916916,569.2348022460938,-3.0680754271404296,1.0987364413568796,944.6959838867188,6.573495438497812,8.686008161563718,522.9623413085938,0.6757919565864564,2.1650627691572177,912.64111328125,0.09008447881018233,0.7212276343622194,524.5661010742188,0.007319681836227143,0.009627033659609773,524.5661010742188,0.00014625365760947463,0.00039128213678307647,576.9241943359375,24000,800,14
64,4.8,0.04055576045348484,0.02963236380248571,671.3101806640625,-3.602932929171131,1.0925775199282,1058.33251953125,2.151184218879903,2.7886291107348105,642.1837768554688,-0.4613876919989396,2.1971178988802005,1060.2891845703125,0.10654492320771591,0.5857464776638375,646.7611083984375,0.002522736930860245,0.0032704005970634557,646.7611083984375,1.7058384747591017e-05,4.3231287861032015e-05,774.8002319335938,8000,800,15
128,4.05,0.4542864365455112,0.010944832670347859,570.7816772460938,-0.7893210907175601,0.024314615366903356,557.9392700195312,0.4845824237281072,0.9295883784008151,487.54052734375,-2.0847304102411965,2.237824509683309,2857.992431640625,0.6659056430170955,0.0012081273449267701,584.0587158203125,0.20649595151320915,0.009866860788040756,584.0587158203125,0.04273792945619401,0.004024911736094379,612.0438842773438,28000,800,16
128,4.15,0.40554368951621417,0.02076146646491673,265.9080810546875,-0.9038948873192331,0.05290964441050109,252.79006958007812,1.701696793646037,3.3503282937285865,198.7637481689453,-0.8843216970687271,2.255558423538875,1000.9218139648438,0.6633738322268756,0.007432156216795913,280.031494140625,0.1648967169246383,0.01638930137170192,280.031494140625,0.027459532917645194,0.005187765560302262,311.21826171875,76000,800,17
128,4.2,0.3617983705069467,0.03829746627223746,251.16976928710938,-1.0234632588469494,0.12357026207202834,232.4355010986328,5.721483445201033,15.654025342311648,226.6384735107422,0.1910920194299748,2.2569032891945446,1079.0379638671875,0.6545171257225225,0.028503591366059438,275.748046875,0.13236474977293233,0.02527050662593944,275.748046875,0.01815902241739752,0.0060500557646243,330.96514892578125,208000,800,18
128,4.22,0.3381929789499088,0.04712201377279844,268.53900146484375,-1.096108064611715,0.1642641099411635,264.4401550292969,8.62092413632744,18.968335646827907,380.771728515625,0.6639914318905723,2.245858896793088,1138.591796875,0.6463355885043145,0.036135905301778425,282.20330810546875,0.11659496829710361,0.028795280631070702,282.20330810546875,0.014423552243768237,0.006054288932666224,329.9542541503906,322000,800,19
128,4.24,0.2951851394952743,0.07658096643601763,215.7800750732422,-1.2871969300658452,0.4725858141598993,224.02694702148438,323.4047975548846,242.87739392722074,20.0465087890625,5.362227239456531,1.2427307759133874,70.65504455566406,0.6131372601455998,0.10983265194645679,245.653564453125,0.0929988990304569,0.037267914623332316,245.653564453125,0.01003768984676449,0.0061627039917348525,312.3453369140625,490000,800,20
