L,T,n_chains,n_sweeps,n_thermalize,seed,rhat_abs_m,ess_abs_m,ess_abs_m_min_chain,mean_abs_m,mean_abs_m_chain_std,mean_abs_m_c0,ess_abs_m_c0,mean_abs_m_c1,ess_abs_m_c1,mean_abs_m_c2,ess_abs_m_c2,mean_abs_m_c3,ess_abs_m_c3
64,4.2,4,200000,800,2,1.0001914425980851,2613.004088543312,591.6976935766386,0.36568069641469664,0.0012616747797511668,0.36572134222965863,689.6235206419383,0.3670048015191954,812.2206661974972,0.3639762419943516,591.6976935766386,0.36602039991558094,602.1892254355816
64,4.22,4,200000,800,3,1.0011824163920766,2355.7253354887207,550.1253849515056,0.3448060130863587,0.003639121511296125,0.34784631524766924,576.3369391054318,0.3395865677629049,550.1253849515056,0.34523632866829823,634.7845708659933,0.3465548406665625,625.008923894267
64,4.24,4,200000,800,4,1.0002193992590882,2497.594437343378,546.2769084510882,0.3191845136372396,0.0017851114155902465,0.3168222473873505,622.2179529645803,0.3188023200195839,546.2769084510882,0.3203730801299194,653.7702682763713,0.3207404070121046,668.9011996730235
64,4.25,4,200000,800,5,1.0015891327955453,2293.5484463436446,478.22842845455295,0.3032329976181509,0.00517102129426102,0.3106457736700189,717.6915184689492,0.2989329662905704,558.2629714413898,0.302660056901952,478.22842845455295,0.30069319361006225,583.6622787566549
64,4.27,4,200000,800,6,1.0014250187011142,1471.1429229539326,343.0486598260737,0.26975269427668974,0.0054053612375126224,0.2665309481745507,450.1356938820268,0.27447089947358877,465.9007622569258,0.27419546594228267,683.9605939257289,0.2638134635163367,343.0486598260737
64,4.28,4,200000,800,7,1.0003590287325255,2308.3609508492646,511.86506504457157,0.25699646886426986,0.002750097296719346,0.2593816171075908,643.6407946269121,0.2569038418664678,535.2388643588317,0.2585301118489516,630.1211791644001,0.2531703046340692,511.86506504457157
64,4.3,4,200000,800,8,1.0000636585964113,2604.9607362554666,537.0886788440409,0.22563435264522497,0.0012064943603703798,0.2271573078687981,537.0886788440409,0.22436481582978374,597.6758044071046,0.225956897902048,661.4183224662557,0.2250583889802701,797.1673337910323
64,4.32,4,200000,800,9,1.0006687522370898,2789.564767155284,644.3062602012989,0.19727286673183336,0.0037778295766652164,0.19658209564216425,759.683788924125,0.2021609542678314,644.3062602012989,0.19297913541219058,644.9451071232492,0.19736928160514722,760.2182934415091
64,4.35,4,200000,800,10,1.0000582954392512,3475.664975940263,783.1259363496715,0.16337821533933566,0.0010606254150929393,0.16396226455559165,834.3125779400377,0.16414612278128177,990.6232926929731,0.16182756847753516,783.1259363496715,0.16357690554293414,895.3330285851679
64,4.38,4,200000,800,11,1.0001782575080789,4774.485212711912,982.1568676493887,0.13332286054184717,0.0016337098338545936,0.13478465932231437,1040.5801787410364,0.13158177290668213,1273.6717240009577,0.1346456745478323,982.1568676493887,0.13227933539055986,1413.6081397031162
64,4.4,4,200000,800,12,1.000071037541619,6344.682074084888,1302.9846597916796,0.12158567866902291,0.0009800969520403274,0.12057862991853424,1302.9846597916796,0.12292022786777344,1632.3287092792016,0.12155032837605209,1509.0343397935635,0.1212935285137318,1772.4956818483136
128,4.2,4,200000,800,18,1.0022752059918034,747.5048040501512,152.26370449726647,0.3635021854261857,0.002621542262291325,0.36292466010235774,164.5026983918627,0.3611071684578581,152.26370449726647,0.3627379226487942,191.76919411992728,0.3672389904957328,499.40399671709497
128,4.22,4,200000,800,19,1.0044726892727165,348.297680490529,68.54382315372548,0.332370803242217,0.0056297385243503665,0.330521075504012,68.54382315372548,0.32533210592502004,78.15399932286046,0.33567154190788284,162.85645143617552,0.3379584896319531,130.2999596667573
128,4.24,4,200000,800,20,1.0052460605404478,290.6138959742143,60.83277356146273,0.2931578460820958,0.007862919940772687,0.29627449446835147,81.19119920790367,0.28779792152258715,60.83277356146273,0.3027800164327362,144.719951113657,0.2857789519047082,73.2334274255066
128,4.25,4,200000,800,21,1.0115302619154367,228.3818459063154,39.45330288627382,0.25871597786052214,0.01405243702541401,0.26347532218561226,100.63133339383715,0.24422879252790983,39.45330288627382,0.27608125062033223,72.11391538350676,0.25107854610823443,61.29152772773553
128,4.27,4,200000,800,22,1.0004936287842385,331.4381402493082,69.90050644868195,0.20496800682743638,0.003068344115075987,0.20290063532910402,72.45624309210957,0.20928537746966044,114.29958871054195,0.2050260635891772,82.24960687484341,0.20265995092180383,69.90050644868195
