L,T,magnetization,magnetization_std,n_eff,log_magnetization,log_magnetization_std,n_eff_log,susceptibility,susceptibility_std,n_eff_susceptibility,log_susceptibility,log_susceptibility_std,n_eff_log_susceptibility,binder_cumulant,binder_cumulant_std,n_eff_binder,m2,m2_std,n_eff_m2,m4,m4_std,n_eff_m4,n_sweeps,n_thermalize,seed
12,3.5,0.5887808461321575,0.044952850376330934,446.262434360301,-0.5327981230534531,0.08013445198117178,451.19780947685973,0.0830982189632222,0.17182460563184684,995.7714041386458,-3.8955720309772395,2.269376624936988,1143.4592740820144,0.6594318982960702,0.010498518523340827,448.76586178936896,0.34868263314967773,0.05138210126852606,448.76586178936896,0.12421837893079637,0.03490314242549675,454.33097094691715,2000,500,0
12,3.8,0.5240687673842497,0.06398047070781626,278.40876556750845,-0.6562259877851953,0.15924396894579132,301.47732778568104,0.8576563099982777,5.0351620830200075,53.0217602033215,-3.0254386521783507,2.4461481917315258,305.13093972989384,0.6508108460096732,0.028351727084696052,287.7901720716711,0.27873952682932457,0.06080820015900762,287.7901720716711,0.0813915122050104,0.03174642696406944,315.3916775217583,2000,500,1
12,4.0,0.47261376391931903,0.08725257467424856,226.26648946358475,-0.7775489645849295,0.284938663304267,244.3465025090706,8.094907294175266,3.682925611941376,10.980724381878199,1.9468142757646896,0.642561167473738,25.90772661524615,0.6355814861367304,0.05760555678048918,241.6094379163784,0.2309729751273775,0.07055163675186578,241.6094379163784,0.05832355992083517,0.029404698521228192,272.25043819949497,2000,500,2
12,4.15,0.43125618251189896,0.09474692152411282,294.8990903766755,-0.8814268598831138,0.34703179546780155,367.17678572214436,4.181381915611071,6.489717185243989,15.45060437344484,0.288287641979198,1.7947056848499077,33.490290827820274,0.6223923500833399,0.07217884472442418,300.02799602595445,0.19495438560346356,0.07106866714126657,300.02799602595445,0.04305544253753549,0.026131958766803066,325.01263044557567,2000,500,3
12,4.25,0.3855920907729081,0.11786180357529716,260.8501114127036,-1.0465336284748146,0.5717619531715012,328.4062171865148,5.4598688223288026,2.773106462163621,191.14245860426632,1.4097246396392913,1.148770811984799,311.87069926049793,0.5903508345155337,0.11462405083970754,262.6010884306043,0.16256571950627352,0.0778046441494608,262.6010884306043,0.03247814902849102,0.024475562782965442,287.8411241037684,2000,500,4
12,4.35,0.3483996390110521,0.12471504985976982,220.69408663539394,-1.1951022082408072,0.7102664303756988,260.47501591299425,4.254230553806438,3.254529382322019,28.77645426111004,0.8856686045883831,1.5613917859779212,83.8868416363015,0.5684496155981196,0.1501528343325593,224.34211271515062,0.13692837520272552,0.07434574678463415,224.34211271515062,0.024273906355590832,0.020334678978634797,244.47949346686508,2000,500,5
12,4.5,0.3096610776879877,0.12666097166465623,355.45745088490594,-1.342479790462742,0.7671332366533603,460.3215823946528,3.5715610163154143,2.26011257845915,347.490725397298,0.7844409271104118,1.495401849301421,454.5817149075114,0.534701481210239,0.18187057172945534,355.1493790959717,0.1119249632770493,0.07044105874849148,355.1493790959717,0.017486659190798455,0.017165621823673812,394.7190790045613,2000,500,6
12,4.8,0.21327016392542408,0.11990592482673278,429.88432676589105,-1.8263551355486767,0.9466317451235159,587.3608287069068,1.7940946236322393,1.626584614137518,414.41160269805687,-0.25669233468703206,1.8990725068417083,598.6316573146601,0.3938747922974264,0.32052651373223484,416.18839062762265,0.05985440491392707,0.05416029988639051,416.18839062762265,0.006514421202342197,0.00977984151370019,433.50518616714965,2000,500,7
12,5.2,0.1492498017069516,0.09879343074393061,749.8517182295308,-2.2538730143008863,1.0461572932507004,1094.3458738461645,0.8860455880827263,0.999745520720702,654.9603219770798,-1.1848273649990007,2.041147562576623,1066.5414938135334,0.24282793796017477,0.4568269975950053,608.2399177967418,0.0320307651967411,0.03612741277160369,638.7331607408009,0.0023305072776818093,0.004675676641308067,608.2399177967418,2000,500,8
12,5.5,0.12434595728562238,0.08528796721356943,1186.6646678425761,-2.4471653117218803,1.0406991143075381,1550.8511988436367,0.5951438988719036,0.7011142176541596,1096.2159555287196,-1.6308801962332373,2.091782370799168,1543.7772800569778,0.2043966791537254,0.5155285633671657,1068.9845890542235,0.022732317426025005,0.026776930351160924,1095.127211238447,0.001233403752588968,0.0026973227523700103,1068.9845890542235,2000,500,9
